city,state,Total_HH,THH_MOE,Total_Unmarried,TU_MOE,Male_Male_HH,MMHH_MOE,Female_Female_HH,FFHH_MOE,All_Other_HH,AOH_MOE
Aberdeen,MD,80367,1804,5110,1199,161,157,82,99,75257,2097
Abilene,TX,40522,1692,2843,784,122,181,74,91,37679,1778
Akron,OH,232594,3713,16358,2141,309,198,410,309,216236,4023
Albany,GA,34385,1535,1588,702,0,211,151,258,32797,1492
Albany Schenectady,NY,237214,4039,16475,2011,379,319,918,509,220739,3739
Albuquerque,NM,292506,3996,22806,2357,843,380,1246,606,269700,4120
Alexandria,LA,28514,1463,1095,531,0,201,44,78,27419,1493
Allentown,NJ,252406,3264,17370,2097,436,266,533,324,235036,3885
Alton,MO,35096,1740,2032,714,69,112,98,112,33064,1872
Altoona,PA,30713,1546,2818,838,16,26,0,168,27895,1562
Amarillo,TX,75151,1737,4571,926,99,118,185,170,70580,2059
Anchorage,AK,90508,2328,8288,1443,307,300,607,383,82220,2227
Anderson,IN,35396,1491,3032,794,20,32,62,101,32364,1586
Anderson,SC,31168,1640,738,330,40,65,0,200,30430,1613
Ann Arbor,MI,124369,2356,8766,1424,502,245,260,151,115603,2511
Anniston,AL,31388,1730,1368,547,0,189,0,189,30020,1746
Antioch,CA,91858,2646,6707,1425,0,200,115,138,85151,3090
Appleton,WI,88346,2186,7709,1319,0,145,153,130,80637,2359
Asheville,NC,122056,3536,6043,1209,235,184,905,532,116013,3586
Athens-Clarke County,GA,49574,2136,3744,1270,74,120,150,155,45830,2290
Atlanta,GA,1702537,8794,99245,5136,6064,1251,5937,1551,1603292,9424
Atlantic City,NJ,94411,2748,6834,1419,28,47,218,166,87577,2847
Auburn,AL,31046,2038,1407,663,0,189,195,244,29639,1953
Augusta-Richmond County,SC,144852,3974,6753,1560,289,224,317,329,138099,3953
Austin,TX,566338,5831,39189,3377,2262,697,3180,890,527149,6538
Avondaleodyear,AZ,67597,2877,4744,1127,242,252,127,153,62853,2917
Bakersfield,CA,171077,3677,14455,2074,189,157,371,288,156622,4046
Baltimore,MD,848163,5536,57875,4034,1590,669,1948,725,790288,6764
Barnstablewn,MA,107071,3179,5214,1070,42,70,216,285,101857,3071
Baton Rouge,LA,227957,4230,15019,2257,121,144,354,276,212938,4702
Battleeek,MI,29564,1297,2270,703,0,165,118,190,27294,1374
Bayty,MI,28183,1374,3016,866,0,165,190,284,25167,1254
Beaumont,TX,56146,2548,3196,1046,0,211,39,68,52950,2812
Bellingham,WA,47666,2257,2750,943,77,128,0,193,44916,2150
Beloit,IL,25894,1460,2403,841,0,187,42,70,23491,1643
Bend,OR,35997,1932,3558,1124,0,197,0,197,32439,1993
Billings,MT,47792,1339,4009,965,0,161,131,210,43783,1297
Binghamton,PA,63274,1630,4762,1052,93,123,0,187,58512,1628
Birmingham,AL,297562,4357,12559,1806,459,251,395,250,285003,4598
Bismarck,ND,39645,1379,3359,965,0,147,0,147,36286,1383
Blacksburg,VA,31826,1931,1999,735,111,191,88,140,29827,2068
Bloomington,IN,41236,2020,3498,940,180,180,131,177,37738,2049
Bloomingtonrmal,IL,52435,1388,2394,629,0,182,0,182,50041,1520
Boisety,ID,146139,2440,7911,1423,128,152,601,383,138228,2842
Bonitarings,FL,137075,4254,8616,1488,48,77,492,306,128459,4252
Boston,RI,1629240,7885,101963,4905,3777,853,3590,916,1527277,8097
Boulder,CO,51111,1867,4241,1004,70,91,191,184,46870,1982
Bowlingeen,KY,29967,1578,2292,841,49,82,39,68,27675,1468
Bremerton,WA,77458,2276,4529,1016,232,257,170,207,72929,2525
Bridgeportamford,NY,344935,4414,17297,2220,489,274,262,192,327638,4605
Bristolistol,VA,30136,1417,1961,675,0,187,101,159,28175,1440
Brownsville,TX,61141,2204,2783,830,55,92,54,66,58358,2403
Buffalo,NY,391844,3570,25713,2500,312,205,328,227,366131,3921
Burlington,NC,51120,1624,2945,822,89,108,232,260,48175,1786
Burlington,VT,44425,1196,3887,963,180,194,285,259,40538,1397
Camarillo,CA,25773,1571,604,296,0,200,0,200,25169,1549
Canton,OH,112131,2650,7884,1455,596,379,60,98,104247,2520
Caperal,FL,225127,5313,17919,2348,271,186,672,432,207208,5246
Carbondale,IL,27390,1801,1254,530,0,182,255,224,26136,1670
Casper,WY,28781,1095,1965,665,0,190,0,190,26816,1182
Cedarpids,IA,74643,1916,5999,1205,0,155,0,155,68644,2049
Champaign,IL,59611,2229,3766,1028,44,78,183,186,55845,2415
Charleston,WV,63798,2294,5237,1319,243,179,122,137,58561,2468
Charlestonrtharleston,SC,227651,3938,13473,2034,39,66,448,294,214178,4062
Charlotte,NC,515518,4733,29745,3021,1656,596,1286,490,485773,4976
Charlottesville,VA,37982,1960,3047,818,151,154,156,141,34935,1876
Chattanooga,GA,153365,3060,10350,1984,237,186,301,262,143015,3079
Cheyenne,WY,30396,1361,1807,752,48,76,61,128,28589,1377
Chicago,IL,3132348,9793,174255,6416,6398,1183,5167,967,2958093,11304
Chico,CA,41034,2125,3402,1037,52,82,87,102,37632,2298
Cincinnati,OH,648448,5236,43359,3783,1264,511,1623,629,605089,6368
Clarksville,KY,58782,2077,2694,724,35,64,117,120,56088,2006
Cleveland,OH,735387,5795,42865,2879,1056,521,1842,698,692522,6394
Cleveland,TN,25992,1602,951,439,0,198,125,132,25041,1684
Coeur_d'Alene,ID,41598,1904,2385,937,0,190,0,190,39213,2057
