city,state,hisp_count,hisp_MOE
Aberdeen,WA,3228,454
Abernathy,TX,1294,372
Abilene,TX,24893,493
Ada,OK,921,169
Adel,GA,740,118
Adelanto,CA,5976,812
Adjuntas,PR,10411,888
Adrian,MI,4728,473
Aguadilla Isabela San Sebastian,PR,288158,1730
Airway Heights,WA,1248,378
Ajo,AZ,1436,559
Akron,OH,8525,490
Alamogordo,NM,9255,656
Alamosa,CO,4996,303
Albany,GA,2214,258
Albany,NY,28031,524
Albany,OR,5088,473
Albert Lea,MN,2099,135
Albertville,AL,6484,676
Albuquerque,NM,320980,1411
Alexandria,LA,1413,341
Alice,TX,18067,729
Allentown,NJ,88926,939
Alma,MI,1288,234
Alpine,TX,2876,249
Alton,IL,1361,372
Altoona,PA,790,159
Altus,OK,4433,197
Amarillo,TX,52272,677
American Falls,ID,1671,228
Ames,IA,1656,268
Amherst,MA,2760,449
Amsterdam,NY,4671,191
Anacortes,WA,698,171
Anchorage,AK,18695,485
Anchorage Northeast,AK,1628,471
Anderson,IN,3020,275
Anderson,SC,2631,414
Andrews,TX,5576,335
Ann Arbor,MI,12414,656
Anniston,AL,2966,325
Antioch,CA,91192,2413
Appleton,WI,8067,480
Aransas Pass Ingleside,TX,7011,835
Arcadia,FL,6495,1100
Arcata,CA,3381,503
Arcola,IL,789,127
Ardmore,OK,1630,414
Arecibo,PR,146167,1957
Arkansas City,KS,1539,299
Arroyo Grande Grover Beach,CA,9980,1002
Artesia,NM,5950,621
Arvin,CA,16431,841
Asheboro,NC,8467,905
Asheville,NC,18274,1048
Ashtabula,OH,2167,337
Astoria,OR,1283,277
El Paso de Robles (Paso Robles) Atascadero,CA,14434,1045
Athens,AL,2031,446
Athens,TX,3203,540
Athens-Clarke County,GA,10168,493
Atlanta,GA,442226,2877
Atlantic City,NJ,34634,1017
Attica,NY,1078,120
Auburn,AL,2565,354
Auburn,NY,859,214
Augusta-Richmond County GA,SC,14104,862
Aurora,MO,573,238
Austin,MN,3146,180
Austin,TX,325103,2642
Avalon,CA,2252,277
Avenal,CA,12837,877
Avon,CO,6035,880
Avondale,AZ,39832,2289
Avra Valley,AZ,1199,536
Bakersfield,CA,224387,2789
Ballinger,TX,1548,239
Baltimore,MD,101475,1653
Banta,CA,1193,156
Barnstable Town,MA,4679,351
Barstow,CA,11181,964
Bartlesville,OK,1951,261
Bartlett,TX,713,176
Bartow,FL,1925,626
Basalt,CO,2376,637
Bastrop,TX,2405,511
Batesville,AR,1132,265
Bath,ME,687,177
Baton Rouge,LA,18660,777
Battle Creek,MI,4521,316
Battlement Mesa,CO,1261,350
Battle Mountain,NV,998,315
Bayard,NM,4207,511
Bay City,MI,4112,218
Bay City,TX,7190,515
Beardstown,IL,1915,88
Beaufort,SC,4053,627
Beaumont,TX,14805,1057
Beaver Dam,WI,1103,291
Beeville,TX,9643,655
Belen,NM,8016,604
Belle Glade,FL,6345,811
Bellingham,WA,6658,925
Beloit WI,IL,7617,816
Bend,OR,5872,660
Benton Harbor St. Joseph,MI,1080,320
Berrien Springs,MI,855,339
Berryville,AR,893,216
Big Bear Lake,CA,3672,954
Big Lake,TX,1858,185
Big Spring,TX,11727,253
Billings,MT,5443,263
Binghamton NY,PA,6138,198
Birmingham,AL,27669,815
Bisbee,AZ,2080,482
Bishop,CA,2086,291
Bishop,TX,2141,218
Bismarck,ND,1037,133
Blackfoot,ID,2841,507
Blacksburg,VA,2100,154
Bloomfield,NM,2998,510
Bloomington,IN,3273,246
Bloomington Normal,IL,5905,278
Bloomsburg Berwick,PA,1335,125
Bluffton,SC,2981,680
Blythe CA,AZ,5932,663
Boardman,OR,2007,222
Boerne,TX,1569,319
Boise City,ID,19850,917
Bonadelle Ranchos-Madera Ranchos,CA,1615,477
Bonham,TX,1476,348
Bonita Springs Naples,FL,57685,2675
Borger,TX,3363,277
Boston MA NH,RI,381545,1218
Boulder,CO,9169,763
Bowling Green,KY,4040,322
Bowling Green,OH,1260,210
Bozeman,MT,1033,276
Brady,TX,1840,187
Brawley,CA,19467,585
Breckenridge,TX,1544,119
Bremerton,WA,11775,601
Brenham,TX,1939,398
Bridgeport,TX,2008,373
Bridgeport Stamford CT,NY,146152,2240
Bridgeton,NJ,11267,740
Brigham City,UT,1607,313
Brighton,CO,15386,1048
Brodheadsville,PA,2049,483
Brookshire,TX,2035,454
Brooksville,FL,13627,624
Brownfield,TX,4785,274
Browns Mills,NJ,4130,592
Brownsville,TX,169405,2141
Brownwood,TX,4585,387
Brunswick,GA,3465,368
Brush,CO,1685,269
Buckeye,AZ,5883,1127
Buena Vista,CO,481,120
Buffalo,NY,39418,587
Bullhead City,AZ,9886,821
Burley,ID,4593,396
Burlington,NC,14123,585
Burlington,VT,2090,187
Butte-Silver Bow,MT,1159,56
Cactus,TX,1855,315
Cairo,GA,1729,209
Caldwell,TX,872,325
Calexico,CA,29730,974
Calhoun,GA,4469,508
California City,CA,2839,559
Calipatria North (California State Prison),CA,5714,514
Calistoga,CA,2130,524
Camarillo,CA,15675,1076
Cambria,CA,1075,438
Cameron,TX,1984,388
Cameron Park,CA,2949,765
Canon City,CO,4109,679
Canton,OH,4549,290
Canyon,TX,1779,390
Cape Coral,FL,60395,2555
Cape Girardeau MO,IL,1138,126
Carbondale,CO,2809,578
Carbondale,IL,1368,243
Carlisle,PA,1463,386
Carlsbad,NM,10490,641
Carrizo Springs,TX,6044,395
Carrollton,GA,4016,536
Carson City,NV,12097,397
Cartersville,GA,4568,529
Carthage,MO,4242,446
Casa Grande,AZ,14611,1150
Cashmere,WA,1798,614
Casper,WY,4290,208
Castle Rock,CO,2950,696
Castroville,TX,2158,724
Catalina,AZ,1666,322
Cedar City,UT,1660,360
Cedar Rapids,IA,4548,202
Cedartown,GA,3801,364
Center,TX,1849,480
Centralia,IL,716,121
Centralia,WA,4003,622
Chambersburg,PA,4549,290
Champaign,IL,7311,506
Chaparral,NM,7162,951
Charleston,WV,2033,223
Charleston North Charleston,SC,25629,668
Charlotte NC,SC,106942,1403
Charlottesville,VA,5435,449
Chatsworth,GA,2518,442
Chattanooga TN,GA,13911,443
Chesapeake Ranch Estates-Drum Point,MD,2852,440
Cheyenne,WY,10112,314
Chicago,IL,1752087,2646
Chickasha,OK,933,253
Chico,CA,13747,926
Childress,TX,961,265
Chowchilla,CA,3319,684
Chowchilla East (Valley State Prison),CA,1525,411
Cincinnati OH KY,IN,41148,757
Citrus Ridge,FL,2284,747
City of The Dalles OR,WA,2910,259
Claremore,OK,1102,354
Clarksville,AR,1381,329
Clarksville TN,KY,10972,703
Clayton,NC,2099,596
Clearlake,CA,3416,693
Cleburne,TX,9511,832
Clemson,SC,1357,423
Clermont,FL,7055,850
Cleveland,OH,68628,668
Cleveland,TN,3485,250
Cleveland,TX,2117,527
Clewiston,FL,6147,2058
Clifton,AZ,2585,264
Clifton,TX,837,259
Clinton IA,IL,843,121
Clinton,NC,1147,410
Clinton,OK,2310,289
Cloverdale,CA,2315,478
Clovis,NM,15485,564
