city,state,Total Pop,Median age (years),Age dependency ratio,Old-age dependency ratio,Child dependency ratio
Aberdeen Bel Air South Bel Air North,MD,216365,38.9,59.3,21.6,37.6
Abilene,TX,109537,31.6,59.9,21.1,38.8
Akron,OH,573004,38.9,57.7,24.3,33.4
Albany,GA,90826,33,61.7,19.2,42.5
Albany Schenectady,NY,598529,38.3,53.8,22.8,31
Albuquerque,NM,760603,36.7,59.3,22.1,37.2
Alexandria,LA,82532,36,63.6,24.5,39.1
Allentown PA,NJ,666738,40.1,62.4,26.9,35.5
Alton IL,MO,83239,41.7,65.6,27.8,37.8
Altoona,PA,75217,44.2,65.8,33.2,32.6
Amarillo,TX,206310,34.2,63.7,20.9,42.8
Anchorage,AK,255615,32.1,50.9,14.2,36.7
Anderson,IN,86677,38.9,64.9,29.1,35.7
Anderson,SC,79527,40.9,69.7,32.3,37.4
Ann Arbor,MI,315663,31.6,45.2,16.2,29
Anniston Oxford,AL,77415,37.2,64,26.2,37.8
Antioch,CA,296034,35.8,59.8,17.8,42
Appleton,WI,215817,37.2,57.1,19.6,37.5
Asheville,NC,292965,42.1,63.7,31.9,31.8
Athens-Clarke County,GA,136979,27.3,42.3,15.1,27.2
Atlanta,GA,4814582,35.4,55.7,15.8,39.9
Atlantic City,NJ,247638,42.1,63.6,28.3,35.2
Auburn,AL,81703,26.1,36.7,13.2,23.6
Augusta-Richmond County GA,SC,401912,36.3,60.1,22.1,37.9
Austin,TX,1539722,33.5,49.7,13.2,36.5
Avondale Goodyear,AZ,216795,33.4,62.1,16.4,45.7
Bakersfield,CA,557086,30.4,66.4,15.7,50.7
Baltimore,MD,2269028,37.1,55.5,21.1,34.5
Barnstable Town,MA,248134,49.1,73.5,43.6,29.9
Baton Rouge,LA,606920,33.7,55,17.6,37.4
Battle Creek,MI,74553,38.9,62.5,22.6,40
Bay City,MI,70397,41.3,69.2,29.7,39.5
Beaumont,TX,144484,35.2,64.6,22.9,41.8
Bellingham,WA,117036,33.8,46.1,21.2,24.8
Beloit WI,IL,69694,35.9,65.8,21.4,44.5
Bend,OR,91309,38.1,53.7,21.9,31.8
Billings,MT,120252,36,65.8,25.2,40.6
Binghamton NY,PA,157661,38.2,59,27.1,31.9
Birmingham,AL,754151,37,59.5,21.9,37.6
Bismarck,ND,88487,37.7,63.5,26.5,36.9
Blacksburg,VA,94250,24,30.6,12.4,18.1
Bloomington,IN,111146,25,32.8,11.9,21
Bloomington Normal,IL,135845,30.7,46.8,15.9,30.9
Boise City,ID,381292,36.4,61.4,20.8,40.5
Bonita Springs,FL,329233,54.2,99.5,69.1,30.5
Boston ,RI,4344744,38.2,53.3,21.8,31.5
Boulder,CO,123966,30.8,35.2,15.4,19.8
Bowling Green,KY,82268,30.3,48.7,15.9,32.7
Bremerton,WA,207650,37.2,57.6,23.7,33.9
Bridgeport Stamford CT,NY,957766,39.4,61.8,23.7,38.1
Bristol Bristol ,VA,68911,44.9,60.8,31.6,29.2
Brownsville,TX,225556,29.6,74.3,18.8,55.5
Buffalo,NY,933743,40.2,59.1,26.4,32.8
Burlington,NC,125341,37.9,62.1,25.6,36.5
Burlington,VT,109683,34,41.4,19.1,22.3
Camarillo,CA,72016,40.3,76.9,33.1,43.8
Canton,OH,279090,41,63.5,27.6,35.9
Cape Coral,FL,585417,46.2,80,45.1,34.9
Carbondale,IL,67347,29.7,48.3,21.1,27.1
Casper,WY,71290,35.4,57.3,19.4,37.9
Cedar Rapids,IA,181925,36.4,60.1,21.5,38.6
Champaign,IL,152500,26.9,35.9,13.3,22.7
Charleston,WV,148634,42.1,60,28.2,31.8
Charleston North Charleston,SC,599443,35.1,54.2,19.3,34.8
