City,State,Population1,"Violent
crime",Murder,"Rape
(revised
definition)2",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson4
Birmingham,AL,212115,1619,23,83,454,1059,6596,1716,4169,711,76
Huntsville,AL ,187624,770,12,50,188,520,4376,908,3111,357,12
Mobile,AL ,250655,747,17,67,203,460,5747,1461,4039,247,54
Montgomery,AL,200194,504,14,21,218,251,4142,1153,2689,300,
Anchorage,AK,301306,1209,6,193,247,763,5515,629,4474,412,33
Chandler,AZ,252369,228,1,24,55,148,2941,518,2315,108,49
Gilbert,AZ,235430,113,0,9,31,73,1670,239,1368,63,10
Glendale,AZ,236780,431,8,59,170,194,6055,969,4584,502,23
Peoria,AZ,164722,120,1,17,27,75,1752,294,1365,93,3
Phoenix,AZ,1529852,4234,50,486,1407,2291,28145,6928,17672,3545,173
Scottsdale,AZ,229325,173,0,38,39,96,2629,449,2076,104,5
Surprise,AZ,125049,69,3,4,19,43,998,167,758,73,9
Tempe,AZ,169812,429,1,48,93,287,3878,596,3061,221,24
Tucson6,AZ,527328,,,,,,,,,,
Anaheim7,CA ,346956,537,5,,203,292,4206,619,2915,672,9
Antioch,CA ,108223,419,3,,148,238,2131,701,921,509,23
Bakersfield,CA ,367406,861,7,,334,512,7609,2147,4354,1108,203
Berkeley,CA ,117753,179,1,20,108,50,2391,410,1680,301,5
Burbank,CA ,105041,70,1,,27,38,1264,161,1011,92,9
Carlsbad,CA ,112297,101,1,,22,70,894,188,655,51,2
Chula vista,CA ,259894,292,3,,107,162,2350,313,1605,432,21
Concord,CA ,126744,217,1,12,78,126,2466,417,1597,452,2
Corona,CA ,161128,90,0,,34,43,1732,270,1209,253,10
Costa mesa,CA ,112709,127,0,,38,74,1675,273,1235,167,12
Daly city,CA ,105628,100,2,12,39,47,817,163,519,135,6
Downey,CA ,113595,146,2,,62,73,1444,240,835,369,9
El cajon,CA ,102838,188,2,,83,92,1177,203,806,168,4
Elk grove,CA ,162957,315,0,16,56,243,1427,291,1051,85,3
El monte,CA ,116220,174,1,,81,85,1063,231,566,266,1
Escondido,CA ,149839,245,0,,69,165,1628,260,1063,305,10
Fairfield,CA ,110300,276,4,,104,148,1854,313,1217,324,7
Fontana,CA ,204532,366,2,,100,256,1823,321,1075,427,4
Fremont,CA,227575,115,1,,51,56,2093,401,1389,303,9
Fullerton7,CA ,139895,163,0,,57,92,1638,276,1194,168,16
Garden grove7,CA ,176106,211,3,,64,137,1540,312,979,249,16
Glendale7,CA ,197079,86,0,,31,51,1571,257,1173,141,11
Hayward,CA ,153319,289,5,20,152,112,2372,474,1237,661,22
Huntington beach,CA ,199152,191,1,27,50,113,2120,298,1675,147,7
Inglewood7,CA ,111997,357,14,,162,167,1356,279,731,346,12
Irvine,CA,242971,54,0,,17,28,1495,266,1167,62,4
Lancaster,CA ,160190,459,3,,109,321,1659,503,966,190,22
Long beach,CA ,471123,1096,14,,429,593,6123,1785,3203,1135,44
Los Angeles,CA ,3906772,8700,132,522,3619,4427,39703,6875,26431,6397,675
Modesto,CA ,205820,869,7,,204,627,4663,1009,3066,588,29
Moreno valley,CA ,202911,248,1,,116,122,3124,863,1789,472,7
Murrieta,CA ,108376,21,0,,7,12,735,140,488,107,6
Norwalk,CA ,106838,171,5,,64,94,996,195,588,213,7
Oceanside,CA ,174102,338,2,,84,224,1924,305,1417,202,19
Ontario,CA ,168278,231,4,,88,130,2207,399,1412,396,12
Orange,CA ,140767,77,0,,31,44,1116,202,790,124,18
Oxnard,CA ,204159,447,5,27,233,182,2968,584,2041,343,21
Palmdale,CA ,158210,409,5,,120,270,1525,385,1010,130,12
Pasadena7,CA ,140373,174,3,,53,107,1767,364,1282,121,14
Pomona7,CA ,151899,400,8,,123,245,2199,299,1395,505,6
Rancho cucamonga,CA ,172694,130,3,6,44,77,1866,663,975,228,11
Rialto,CA ,102540,162,0,,58,93,1149,331,452,366,8
Riverside,CA ,319453,658,9,,221,359,4657,768,3163,726,48
Roseville,CA ,128997,101,1,9,27,64,1509,204,1191,114,8
Sacramento,CA ,482767,1460,18,,464,947,7642,1594,4908,1140,75
Salinas,CA ,156908,471,7,,205,246,2743,702,1328,713,20
San Bernardino,CA,214588,1058,26,,400,585,4559,1133,2186,1240,67
San Diego,CA ,1368690,2591,19,,635,1754,13759,2647,8515,2597,110
San Francisco,CA ,850294,3279,14,163,1510,1592,21330,2722,15613,2995,117
San jose,CA ,1009679,1629,19,,561,904,12053,2501,5657,3895,63
San mateo,CA ,102082,107,0,,43,54,994,158,744,92,4
Santa ana,CA ,336462,619,10,,219,340,2793,413,1783,597,8
Santa clara,CA ,121114,77,0,,39,16,1653,289,1152,212,6
Santa maria,CA ,102885,225,0,,78,129,1642,337,824,481,8
Santa rosa7,CA ,172991,302,0,,60,211,2107,335,1560,212,35
Simi valley7,CA ,126604,50,0,,10,31,778,134,598,46,2
Stockton,CA ,299519,1972,21,,532,1358,6725,1638,4150,937,37
Sunnyvale,CA ,149384,78,0,9,36,33,1143,250,749,144,12
Temecula,CA ,108308,44,1,,26,13,1318,380,830,108,5
Thousand oaks,CA ,129175,69,0,13,11,45,794,162,582,50,3
Torrance7,CA ,147971,64,1,,21,36,1218,282,813,123,2
Vallejo,CA ,119504,518,5,,204,284,2380,1063,774,543,22
Ventura,CA ,109246,121,1,,45,63,1901,325,1484,92,2
Victorville,CA ,122316,307,3,,92,194,2100,891,931,278,8
Visalia,CA ,128488,233,5,,74,137,1971,362,1325,284,2
West covina,CA ,108136,106,0,,31,73,1390,233,955,202,2
Aurora,CA ,350948,698,5,129,191,373,4832,905,3430,497,41
Boulder,CA ,104284,122,1,22,13,86,1360,225,1056,79,14
Colorado springs,CA ,444949,982,11,196,207,568,7696,1252,5686,758,55
Fort collins,CA ,154015,135,0,20,9,106,1690,194,1424,72,9
Lakewood,CA ,148236,334,3,57,70,204,3298,493,2495,310,7
Pueblo,CA ,108591,415,4,60,88,263,3651,914,2375,362,20
Thornton8,CA ,129442,171,5,38,23,105,1804,212,1400,192,10
Westminster,CA ,112100,130,2,18,28,82,1590,154,1286,150,5
Bridgeport,CT,147822,617,2,32,248,335,1908,485,1114,309,15
Hartford,CT,124943,671,7,22,229,413,2587,376,1823,388,19
Stamford,CT,127385,147,1,12,68,66,955,114,742,99,7
